"%s Item(s)","%s article(s)"
"Right Column","Colonne de droite"
"Select Store","Choisir un magasin"
"Select Store:","Choisir un magasin :"
"Select date","Sélectionner la date"
"Show","Afficher"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Time selection:","Sélection de l'heure :"
"Time:","Heure :"
"Welcome, %s!","Bienvenue, %s !"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Javascript doit être activé dans votre navigateur pour utiliser toutes les fonctionnalités de ce site."
"Your Language","Langue"
"Your Language:","Votre langue :"
"per page","par page"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Boutique de démo Magento. Tous droits réservés."
"Allow","Autoriser"
"JavaScript seems to be disabled in your browser.","Javascript est désactivé dans votre navigateur."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Ce site web utilise des cookies pour fournir l'intégralité de ses fonctionnalités. Pour plus d'informations sur les données contenues dans les cookies, vous pouvez consulter notre <a href=""%s"">page de politique de confidentialité</a>. Pour accepter l'utilisation de cookies sur ce site, veuillez cliquer sur le bouton 'Autoriser' ci-dessous."
"Our Products","NOS PRODUITS"
"Search...","Chercher..."
"Email Address ","Adresse e-mail"
"Sign Up for Newsletter ","S'inscrire aux Newsletters"
"Back ","Retourner"
"Submit ","Soumettre"
"free register","REGISTRÉ GRATUIT"
"Best Price","Meilleur prix"
"Buy Now >>","Commander >>"
"Already have an account?Click here to login","Vous avez déjà un compte? Cliquez ici pour Se connecter"
"Already have an account?Click here to login ", "Vous avez déjà un compte? Cliquez ici pour Se connecter"
"Get Free SMS delivery (You can skip this field)","Obtenez la livraison gratuite par SMS (Vous pouvez ignorer ce champ)"
"Create an account for later use","Crée un compte pour gérer vos abonnements"
"Tutorial","DIDACTICIEL"
"BILLING ADDRESS","ADRESSE DE FACTURATION"
"PAYMENT METHOD","MÉTHODES DE PAIEMENT"
"ORDER REVIEW","EXAMEN DE COMMANDE"
"Place order now","Commandez maintenant"
"Thank you for your purchase! Please check your Email!","Merci pour votre achat! Merci de consulter vos email!"
"I read and agree to ","J'ai lu et j'accepte"
"I read and agree to","J'ai lu et j'accepte"
"My Credits","Mon Solde"
"Credits Information","Information de Soldes"
"Your Credits","Mon Solde"
"Credits Transaction","Historique de transactions"
"Send Credits To Friend","Envoyez des fonds à un ami"
"Friend Name","Nom de votre ami"
"Send","Envoyer"
"My Account","Mon compte"
"My account","Mon compte"
"Logout","Déconnexion"
"Show","Montrer"
"Hide","Cacher"
"1. Billing Address","1. ADRESSE DE FACTURATION"
"2. Payment Method","2. MÉTHODES DE PAIEMENT"
"3. Order Review","3. EXAMEN DE COMMANDE"
" Place order ","Commandez"
"Place order","Commandez"
"Customer Credits","Crédits de clients"
"Maximum credits you can use is:","Les crédits maximum que vous pouvez utiliser sont:"
"Minimum credits required if you use is:","Le crédit minimum requis si vous utilisez est:"
"Apply Credits","Appliquer"
"Credit "%s" was applied successfully."," Le crédit "%s" a été appliqué avec succès."
"Credit %s was applied successfully."," Le crédit %s a été appliqué avec succès."
"Discount (Used credits)","Remise (Crédits utilisés)"
